Key,File,Type,english
trapSpikesSteelDmg0,blocks,Trap,Steel Spikes Trap
trapSpikesSteelDmg1,blocks,Trap,Steel Spikes Trap 1
trapSpikesSteelDmg2,blocks,Trap,Steel Spikes Trap 2
steelBars,blocks,Block,Steel Bars
steelBarsCentered,blocks,Block,Steel Bars Centered
steelBarsCNR,blocks,Block,Steel Bars Corner
steelBarsDesc,blocks,Block,You can see and shoot through steel bars and they offer awesome protection.
woodBars,blocks,Block,Wood Bars
woodBarsCentered,blocks,Block,Wood Bars Centered
woodBarsCNR,blocks,Block,Wood Bars Corner
woodBarsDesc,blocks,Block,You can see and shoot through wood bars and they offer some protection.
commercialDoorVariantHelper,blocks,Block,Commercial Doors
elevatorDoorVariantHelper,blocks,Block,Elevator Doors
trailerDoorVariantHelper,blocks,Block,Trailer Doors
woodenFenceDoorVariantHelper,blocks,Block,Fence Doors
jailVariantHelper,blocks,Block,Jail Doors and Bars
exteriorHouseDoorVariantHelper,blocks,Block,House Doors
cabinetDoorVariantHelper,blocks,Block,Closet and Cabinet Doors
elevatorDoorPowered,blocks,Block,Elevator Door (Powered)
elevatorDoorDoublePowered,blocks,Block,Elevator Door Double (Powered)
elevatorDoorPoweredVariantHelper,blocks,Block,Elevator Doors (Powered)
commercialBulletproofSlidingDoorPowered,blocks,Block,Commercial Bulletproof Sliding Door (Powered)
chainlinkFenceDoorPowered,blocks,Block,Chain Link Door (Powered)
chainlinkFenceDoorDoublePowered,blocks,Block,Chain Link Door Double (Powered)
chainlinkFenceDoorPoweredVariantHelper,blocks,Block,Chain Link Doors (Powered)
shuttersSteel01Powered,blocks,Block,Steel Shutters Inside (Powered)
shuttersSteel02Powered,blocks,Block,Steel Shutters Outside (Powered)
shuttersSteel01PoweredVariantHelper,blocks,Block,Steel Shutters (Powered)
modularRopeVariantHelper,blocks,Block,"Ropes, Climbable"
trailerDoorWhitePowered,blocks,Block,White Trailer Door (Powered)
trailerDoorBrownPowered,blocks,Block,Brown Trailer Door (Powered)
trailerDoorRedPowered,blocks,Block,Red Trailer Door (Powered)
trailerDoorOrangePowered,blocks,Block,Orange Trailer Door (Powered)
trailerDoorYellowPowered,blocks,Block,Yellow Trailer Door (Powered)
trailerDoorGreenPowered,blocks,Block,Green Trailer Door (Powered)
trailerDoorBluePowered,blocks,Block,Blue Trailer Door (Powered)
trailerDoorPurplePowered,blocks,Block,Purple Trailer Door (Powered)
trailerDoorGreyPowered,blocks,Block,Grey Trailer Door (Powered)
trailerDoorBlackPowered,blocks,Block,Black Trailer Door (Powered)
trailerDoorPinkPowered,blocks,Block,Pink Trailer Door (Powered)
trailerDoorArmyGreenPowered,blocks,Block,Army Green Trailer Door (Powered)
trailerDoorPoweredVariantHelper,blocks,Block,Trailer Doors (Powered)
